vehicle_no,owner_name,contact_number,email,address,vehicle_type,rc_status,insurance_validity,challan_status,last_service_date
PB133995,Ivan Dyal,+910761065398,kibeoorja@lanka.com,"33/80, Bansal Zila, Dhule 141404",Bike,Valid,2026-12-03,Pending,2024-06-19
MH227506,Abram Dube,5401042808,shanayabains@gmail.com,"H.No. 220, Grewal Street, South Dumdum-103760",SUV,Expired,2024-12-15,Cleared,2024-05-07
UP644188,Shlok Hora,+913153161432,goyallakshay@halder.com,"59, Arya, Khammam-998302",Hatchback,Expired,2023-09-16,Cleared,2024-08-04
HR815911,Jhanvi Rajan,1940814695,hayreyashvi@hotmail.com,"417, Agrawal, Vijayawada 377369",Van,Expired,2023-08-03,Pending,2025-02-12
KA025888,Adah Chad,+913791612337,darshitdalia@yahoo.com,"88/05, Walia Circle, Indore 109905",Van,Valid,2024-09-11,Pending,2024-08-25
WB788370,Mahika Garg,1072997953,qsastry@chopra-sabharwal.org,"10/19, Dube, Jhansi 664569",Hatchback,Valid,2026-08-10,Pending,2024-09-29
TN398526,Anahita Sane,07025655016,fbhakta@kannan.org,"27/458, Shah Path, Bhagalpur-763055",Truck,Expired,2026-11-07,Pending,2024-05-17
WB565264,Shalv Wadhwa,02390303650,irachandra@hotmail.com,"H.No. 49, Balan Chowk, Phagwara-539805",Hatchback,Expired,2027-03-12,Cleared,2024-04-15
PB164092,Khushi Saha,8930092828,babukashvi@gmail.com,"H.No. 43, Babu Chowk, Mangalore 514484",Truck,Valid,2024-06-10,Cleared,2024-04-14
RJ011394,Dhruv Agrawal,+917393049468,emir83@jaggi.org,"H.No. 92, Bassi Chowk, Thane 146030",Hatchback,Expired,2023-05-23,Pending,2025-01-01
PB232145,Pihu Sahota,4010689300,yuvaandayal@gmail.com,"91, Mander Road, Hubli–Dharwad-139134",Hatchback,Valid,2023-08-18,Pending,2024-06-14
KA131791,Ivan Sama,0840853000,reneesarin@saxena-gaba.net,"60/84, Dugar Circle, Bhalswa Jahangir Pur-041522",Hatchback,Expired,2026-01-04,Cleared,2024-06-16
PB724633,Devansh Arya,+916417812019,rhea74@hotmail.com,"05/50, Khurana Chowk, Surat-597164",Bike,Valid,2025-10-01,Cleared,2025-03-09
TN126645,Mishti Chaudhary,03897905570,tanya95@gmail.com,"H.No. 954, Taneja Path, Berhampur 681327",SUV,Valid,2025-01-09,Pending,2024-10-18
DL274353,Kaira Bhandari,4343785406,oarora@hotmail.com,"85/533, Bhavsar Road, Muzaffarpur 222831",SUV,Valid,2025-02-12,Pending,2025-03-24
PB465287,Chirag Agarwal,09362292293,uthkarshkapur@korpal.info,"889, Tank Chowk, Kavali-898242",SUV,Expired,2026-04-22,Pending,2024-12-19
GJ809351,Divit Chopra,6459782893,jivin80@trivedi.org,"H.No. 94, Sarkar Zila, Bikaner-975152",Bike,Valid,2025-11-24,Pending,2024-09-24
UP736161,Vivaan Tata,3802649969,ddugar@gmail.com,"H.No. 859, Agarwal Path, Khora -496921",Bike,Expired,2026-03-09,Pending,2024-06-09
RJ406383,Keya Saxena,+914111187360,sarmariaan@gmail.com,"H.No. 969, Rajan Marg, Bharatpur 197700",Truck,Expired,2026-06-06,Pending,2024-11-25
WB924672,Aarna Wali,+918835227070,bumbshanaya@hotmail.com,"53, Majumdar Street, Kadapa-634797",Hatchback,Valid,2024-03-25,Cleared,2025-01-26
PB988659,Khushi Kothari,2929428260,gmammen@master-gaba.com,"811, Choudhary Marg, Jamnagar 450422",Van,Expired,2026-10-19,Pending,2025-02-20
WB047136,Rasha Goyal,09886645595,tuppal@yahoo.com,"67/915, Kata Circle, Hospet-069074",Truck,Valid,2025-04-04,Cleared,2024-04-19
PB699746,Pihu Srivastava,03409222849,baraddharmajan@hegde.net,"986, Sibal Chowk, Parbhani-888330",Truck,Valid,2026-04-29,Pending,2024-06-19
TN876203,Dishani Wali,+918393234729,rashatiwari@chawla-rout.com,"31/14, Basak, Varanasi 785525",Truck,Valid,2024-04-09,Cleared,2024-07-28
TN744502,Darshit Deshpande,7081329165,kaira31@dhar.info,"H.No. 45, Sarkar, Morbi 819068",Truck,Valid,2025-11-15,Pending,2025-01-03
UP127557,Dhanuk Varty,+915128916180,kapurhiran@hotmail.com,"317, Kapadia Circle, Ratlam 257525",Sedan,Valid,2024-05-01,Cleared,2024-05-07
MH149538,Kiara Ratti,00756658471,chauhanrania@hotmail.com,"H.No. 968, Jhaveri Chowk, Surendranagar Dudhrej 138753",Bike,Expired,2026-11-16,Cleared,2024-10-08
UP643393,Aarush Mammen,9805076133,oorja29@gill-raman.com,"H.No. 334, Varghese Zila, Pimpri-Chinchwad-277754",Van,Expired,2024-11-04,Cleared,2024-07-25
WB501253,Rati Cheema,02773718919,akapoor@rajagopalan-rastogi.net,"H.No. 67, Kanda Marg, Sasaram-016127",Sedan,Valid,2023-12-06,Cleared,2024-07-09
KA295824,Gatik Shere,2968298379,chanavedika@kara.com,"H.No. 87, Vora Circle, Ranchi-683507",Truck,Valid,2023-09-02,Pending,2025-03-06
TN835671,Badal Vasa,7130068508,riyakumer@kala.net,"26/523, Karnik Path, Bhopal-348788",Van,Valid,2025-08-07,Pending,2025-04-05
GJ444938,Badal Kumar,+912142132597,badamiishaan@gmail.com,"H.No. 882, Bhatnagar Path, Rohtak 190181",Van,Valid,2023-08-31,Pending,2025-04-01
WB837761,Anahi Kari,+914788652980,anyaissac@gmail.com,"25/73, Varghese Path, Baranagar-663603",Hatchback,Valid,2023-07-13,Cleared,2024-11-28
KA372194,Shray Lata,00541283401,lavanyachokshi@tara.com,"H.No. 262, Dhar Chowk, Muzaffarpur-516653",Truck,Valid,2026-07-01,Pending,2024-08-22
TN455597,Adah Hegde,02846905201,ivanadara@yohannan.com,"28/14, Wagle Chowk, Dehri-169138",Bike,Valid,2023-06-26,Pending,2024-08-26
RJ129517,Ehsaan Deshmukh,01509759850,suhanasubramanian@hotmail.com,"13/291, Dewan Path, Farrukhabad 218962",SUV,Expired,2027-03-24,Pending,2024-06-17
GJ878097,Ira Rattan,8727920705,pihu14@soni.com,"29/809, Bala Ganj, Dhule-300825",Van,Valid,2023-08-31,Pending,2024-12-23
HR953221,Vanya Kale,1724909646,usibal@gmail.com,"65, Mander Chowk, Ozhukarai 686676",Van,Expired,2026-12-08,Cleared,2025-03-22
HR782869,Prisha Biswas,1295127693,dhanush95@yahoo.com,"348, Hayre Marg, Karaikudi 679197",Sedan,Expired,2024-02-19,Cleared,2024-06-14
GJ536038,Vritika Grover,4152317694,gokhaleshayak@hayre.biz,"52, Balakrishnan, Kolkata-910373",Sedan,Valid,2023-10-24,Pending,2024-08-24
GJ611381,Hiran Dewan,00713624299,somoorja@mall-mall.com,"20, Chaudhary Ganj, Udupi-467147",Sedan,Expired,2024-08-23,Cleared,2024-06-01
WB017528,Anya Kara,08565434364,usant@bali-gour.com,"368, Roy Marg, Chapra 764013",SUV,Expired,2025-07-18,Cleared,2025-01-24
MH263511,Hiran Gupta,01857353109,saanvigarg@halder.info,"20, Singh Path, Baranagar-539619",SUV,Valid,2026-04-13,Cleared,2024-08-30
RJ386567,Sumer Tripathi,+917001132392,deshpandeela@hotmail.com,"H.No. 57, Kashyap Road, Miryalaguda 755181",Bike,Valid,2024-06-07,Pending,2024-12-23
HR809236,Anika Madan,+910527533959,mishti49@arora-wali.com,"77/294, Loke Ganj, Siliguri-560088",Sedan,Valid,2026-12-17,Cleared,2024-09-12
GJ789838,Vardaniya Sur,00002024480,gvala@hotmail.com,"809, Dewan Marg, Bhimavaram 026848",SUV,Valid,2024-10-13,Cleared,2024-10-25
MH833998,Kanav Shetty,5667104396,hazelsaxena@hotmail.com,"H.No. 76, Sengupta Path, Hajipur-284927",SUV,Valid,2025-07-01,Pending,2024-10-06
RJ497778,Heer Golla,3984429556,sarkararhaan@yahoo.com,"793, Dasgupta Street, Saharanpur 509990",Van,Expired,2024-01-01,Cleared,2025-03-25
HR553327,Advika Kala,+916140460633,ksharma@gmail.com,"H.No. 64, Bahri Path, Mangalore 709837",Van,Valid,2024-04-27,Pending,2024-12-13
HR507518,Dhanuk Krishnamurthy,02018962628,tarini14@yahoo.com,"03/93, Dugar Road, Imphal 678779",Hatchback,Expired,2025-12-12,Pending,2024-07-30
GJ312016,Keya Manne,09032192490,ritvik24@gill-sood.net,"214, Khalsa Chowk, Sasaram 684738",Van,Valid,2023-11-07,Pending,2025-03-05
HR331034,Aayush Shere,7222275903,himmatbose@yahoo.com,"H.No. 60, Krishnan Zila, Begusarai 450315",SUV,Valid,2026-05-12,Pending,2024-12-15
RJ276897,Ishaan Behl,02664853856,hraju@deshmukh.com,"35/884, Tiwari Chowk, Loni-421437",Bike,Valid,2024-03-14,Cleared,2024-11-19
TN184167,Inaaya  Dugal,07872792204,armaanbahl@arora.com,"21/70, Shenoy Marg, Visakhapatnam-319201",Hatchback,Expired,2023-11-17,Cleared,2024-08-07
PB803580,Tejas Chokshi,+910499030866,gokuldasgupta@yahoo.com,"H.No. 170, Kunda Street, Saharsa 100725",Van,Expired,2024-12-16,Pending,2024-09-30
RJ947230,Indrans Bala,+918144165371,sahil29@hotmail.com,"H.No. 36, Gade Street, Satara-705681",Hatchback,Expired,2024-10-12,Pending,2024-09-06
TN049659,Pari Saraf,0970071530,xmammen@yahoo.com,"H.No. 910, Kunda Road, Tirupati-087772",Sedan,Expired,2025-07-27,Cleared,2024-07-20
GJ824390,Bhamini Hans,+911052754493,raghav72@brahmbhatt.info,"13/519, Bhatia Chowk, Kottayam 366747",SUV,Valid,2024-05-21,Cleared,2024-10-14
GJ925136,Kashvi Kapadia,04084388305,sharaflakshit@yahoo.com,"27/908, D’Alia Road, Jalandhar 886807",SUV,Expired,2027-03-09,Pending,2024-05-16
MH581251,Shamik Sibal,3733107284,keya94@hotmail.com,"66/338, Garg Zila, Naihati-750786",SUV,Valid,2023-10-14,Pending,2024-06-19
MH753679,Jiya Taneja,5363652718,zachariahanya@saraf-walla.org,"28/939, Bora Street, Aizawl-723165",Sedan,Valid,2026-01-26,Pending,2024-12-19
WB461346,Aayush Lata,05011389056,mamootysankar@reddy.com,"H.No. 18, Madan Zila, Berhampore 187300",SUV,Valid,2026-03-06,Cleared,2025-02-11
MH111375,Eshani Anne,+919592634719,romilbarman@majumdar.org,"H.No. 89, Varghese, Saharanpur 925216",Hatchback,Expired,2025-04-29,Cleared,2024-06-08
TN656890,Shaan Shanker,+913987842309,golehimmat@hotmail.com,"17, Ben, North Dumdum-889342",Hatchback,Valid,2023-10-30,Pending,2025-01-23
GJ997104,Kashvi Gupta,01587040753,tanyamann@hotmail.com,"16/66, Kibe Zila, Hubli–Dharwad 878704",Hatchback,Valid,2024-04-10,Pending,2025-04-05
TN682166,Ayesha Rastogi,06508650112,keyasinha@yahoo.com,"39/20, Raju Ganj, Shimla-590861",Hatchback,Expired,2024-05-25,Cleared,2024-06-05
HR894771,Nishith Chaudhry,6249309329,samaira08@gmail.com,"81/068, Gade Path, Junagadh 566875",Hatchback,Expired,2026-06-21,Cleared,2024-06-30
GJ557169,Tanya Dani,+919591812601,saxenareyansh@gmail.com,"13, Yohannan Ganj, Jaipur 682564",SUV,Valid,2026-08-02,Pending,2025-01-22
RJ806771,Indranil Babu,08854031232,jshan@aurora-sodhi.com,"25, Mander Ganj, Dindigul 687820",Van,Valid,2026-04-06,Pending,2024-09-29
TN972756,Amani Shroff,4889168625,kimayakapur@yahoo.com,"H.No. 014, Bhagat Circle, Gandhidham-153411",Sedan,Valid,2026-07-16,Cleared,2024-12-30
DL099843,Ayesha Boase,03036128306,seherlall@hotmail.com,"37/68, Bala Zila, Bhind 829160",Sedan,Expired,2024-06-15,Cleared,2025-03-02
MH677639,Lagan Tripathi,7256348245,rsaran@gmail.com,"H.No. 282, Bumb, Bidhannagar-297201",Bike,Valid,2027-04-04,Pending,2024-05-27
UP452961,Dhanush Mani,1442840311,vritika52@yahoo.com,"39/64, Dubey Chowk, Thrissur-773853",Bike,Expired,2023-06-04,Cleared,2024-10-04
